@relation steam_transactions

@attribute steamid string
@attribute apps string

@data
"7.656119796519058e+16","{2854250}"
"7.656119796519122e+16","{344300,3047070}"
"7.656119796523365e+16","{61310}"
"7.656119796523763e+16","{2820820}"
"7.656119796525386e+16","{315830}"
"7.656119796525733e+16","{316020}"
"7.656119796526853e+16","{271860}"
"7.656119796527256e+16","{305920}"
"7.656119796527414e+16","{314320}"
"7.656119796528246e+16","{12430}"
"7.656119796529645e+16","{294460}"
"7.656119796530915e+16","{62100}"
"7.656119796532262e+16","{296730,326180}"
"7.656119796533403e+16","{2731590}"
"7.656119796534098e+16","{9480}"
"7.656119796534755e+16","{337940,342360}"
"7.656119796534824e+16","{42500}"
"7.656119796537002e+16","{10250,46360}"
"7.656119796537635e+16","{297720}"
"7.656119796538624e+16","{2692800,2709300,2712810,2715660,2715680,2728950,2840020,2844450,3176880,3204840,3206090,3285370,3313560}"
"7.656119796539686e+16","{274480,312600}"
"7.656119796541328e+16","{333930}"
"7.656119796541651e+16","{29160}"
"7.656119796541669e+16","{273590}"
"7.65611979654219e+16","{62100}"
"7.656119796543502e+16","{223710}"
"7.656119796544354e+16","{341680}"
"7.656119796546683e+16","{341800}"
"7.656119796547008e+16","{6600}"
"7.656119796547134e+16","{330770}"
"7.656119796548758e+16","{116120}"
"7.656119796551482e+16","{2971610}"
"7.656119796552981e+16","{338530}"
"7.656119796553154e+16","{315830}"
"7.65611979655409e+16","{37800}"
"7.656119796555291e+16","{2750000,2881800,2971390}"
"7.656119796555344e+16","{329280}"
"7.656119796556877e+16","{62100}"
"7.656119796557506e+16","{337960}"
"7.656119796558059e+16","{2798600}"
"7.656119796558398e+16","{319280}"
"7.656119796558506e+16","{62100}"
"7.65611979656152e+16","{284220,2849680}"
"7.656119796561701e+16","{2790330}"
"7.656119796561894e+16","{293460}"
"7.656119796565317e+16","{314010}"
"7.656119796565773e+16","{3193800}"
"7.65611979656777e+16","{29160}"
"7.656119796568754e+16","{2802710}"
"7.656119796570157e+16","{2889780}"
"7.656119796573878e+16","{322900}"
"7.656119796574018e+16","{29160}"
"7.656119796574738e+16","{19200}"
"7.65611979657727e+16","{298110}"
"7.656119796578027e+16","{293840}"
"7.65611979658044e+16","{2750480}"
"7.656119796580486e+16","{300380}"
"7.65611979658207e+16","{332830}"
"7.65611979658349e+16","{299360}"
"7.656119796583542e+16","{2903490}"
"7.656119796584011e+16","{108110}"
"7.656119796591922e+16","{17740}"
"7.656119796595323e+16","{2971610}"
"7.656119796597614e+16","{299090}"
"7.65611979659771e+16","{50000}"
"7.656119796598274e+16","{314010}"
"7.65611979659867e+16","{337820}"
"7.656119796599611e+16","{9340}"
"7.656119796600062e+16","{271570}"
"7.65611979660229e+16","{314240}"
"7.656119796602298e+16","{3037410,3182570}"
"7.656119796603266e+16","{310970}"
"7.656119796604752e+16","{203560}"
"7.656119796605554e+16","{50000}"
"7.656119796605795e+16","{205530}"
"7.656119796606258e+16","{116100}"
"7.656119796608274e+16","{50000}"
"7.656119796608634e+16","{2707490}"
"7.656119796609038e+16","{282140}"
"7.656119796609442e+16","{2911520}"
"7.656119796615819e+16","{2756920}"
"7.656119796616346e+16","{347230}"
"7.656119796619019e+16","{323780}"
"7.656119796619146e+16","{9980}"
"7.656119796619938e+16","{3072160}"
"7.656119796621096e+16","{315340}"
"7.656119796621822e+16","{12430}"
"7.656119796621837e+16","{2790330}"
"7.656119796622637e+16","{200260}"
"7.656119796624765e+16","{252190}"
"7.656119796626262e+16","{3112260}"
"7.65611979662762e+16","{3214780}"
"7.656119796629498e+16","{311930}"
"7.656119796629984e+16","{42500}"
"7.656119796632294e+16","{29600}"
"7.656119796632357e+16","{2842040}"
"7.656119796633858e+16","{330620}"
"7.65611979663583e+16","{282590}"
"7.656119796635877e+16","{2838040}"
"7.656119796636674e+16","{312300}"
"7.656119796637526e+16","{304240}"
"7.656119796638195e+16","{2794830}"
"7.656119796638454e+16","{296930}"
"7.656119796638734e+16","{2814760}"
"7.656119796639142e+16","{341530}"
"7.656119796639728e+16","{200260}"
"7.656119796639891e+16","{3167550}"
"7.656119796641902e+16","{3910}"
"7.656119796642e+16","{333640}"
"7.656119796644682e+16","{342550}"
"7.656119796645373e+16","{323780}"
"7.656119796645899e+16","{2716400}"
"7.656119796646466e+16","{313360}"
"7.65611979664677e+16","{2716400}"
"7.656119796647688e+16","{329190}"
"7.656119796648083e+16","{279070}"
"7.656119796648538e+16","{304430}"
"7.65611979664975e+16","{3182420}"
"7.656119796651005e+16","{3150440}"
"7.656119796651026e+16","{50000}"
"7.656119796651997e+16","{206060}"
"7.656119796652554e+16","{3213430}"
"7.656119796653878e+16","{50000,295730}"
"7.656119796654414e+16","{50000}"
"7.656119796655781e+16","{297370}"
"7.656119796656272e+16","{336530}"
"7.656119796656355e+16","{317400}"
"7.656119796657074e+16","{104020,300910}"
"7.656119796657405e+16","{2870750}"
"7.656119796658797e+16","{202730,305760}"
"7.656119796659514e+16","{279440}"
"7.656119796660728e+16","{306000}"
"7.656119796661922e+16","{276460}"
"7.656119796663123e+16","{325370}"
"7.65611979666337e+16","{341570}"
"7.656119796664245e+16","{298790}"
"7.65611979666762e+16","{344220}"
"7.656119796667763e+16","{282860}"
"7.65611979666786e+16","{326180}"
"7.65611979666901e+16","{347690}"
"7.656119796670538e+16","{9060}"
"7.656119796670744e+16","{282590}"
"7.656119796672158e+16","{349510}"
"7.656119796672944e+16","{2928520}"
"7.656119796674838e+16","{3226850}"
"7.656119796675218e+16","{3207880}"
"7.65611979667535e+16","{32200}"
"7.656119796677482e+16","{35720}"
"7.656119796677621e+16","{2821800}"
"7.656119796677858e+16","{330770}"
"7.656119796678474e+16","{333640}"
"7.656119796678838e+16","{6600,42500,44100}"
"7.656119796680909e+16","{50000}"
"7.65611979668178e+16","{2707490}"
"7.656119796682296e+16","{205550}"
"7.656119796682626e+16","{116100}"
"7.65611979668303e+16","{287390}"
"7.656119796684432e+16","{6270}"
"7.65611979668485e+16","{295590}"
"7.656119796685549e+16","{2951770}"
"7.65611979668641e+16","{58200,3099000}"
"7.656119796687464e+16","{2877540}"
"7.65611979668879e+16","{284140}"
"7.656119796689632e+16","{46000,49320,104020,203560}"
"7.656119796690285e+16","{44690}"
"7.65611979669117e+16","{3197540}"
"7.65611979669172e+16","{2793270}"
"7.656119796694448e+16","{261550}"
"7.656119796695328e+16","{111100}"
"7.656119796696125e+16","{296910}"
"7.65611979669728e+16","{347040}"
